,Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
533,Spain,La Liga,(RMA),Federico Valverde,6,2,566,3,1.13,0.19,9,5,1.51,0.84,2020
385,Italy,Serie A,(JUV),Cristiano Ronaldo,33,0,3127,31,27.32,0.83,208,79,6.32,2.4,2019
213,Italy,Serie A,(CAG),Leonardo Pavoletti,31,1,2903,16,11.0,0.36,84,33,2.75,1.08,2018
172,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Diego ,24,3,2089,10,7.92,0.36,56,22,2.55,1.0,2017
218,Italy,Serie A,(PSG),Mauro Icardi,24,5,2314,11,14.86,0.61,73,29,3.0,1.19,2018
251,France,France Ligue 1,(PSG),Kylian Mbappe-Lottin,24,5,2488,33,31.17,1.19,125,70,4.77,2.67,2018
479,Brazil,Campeonato Brasileiro S̩rie A,(GOI),Rafael Moura,19,4,1661,9,8.22,0.47,48,14,2.75,0.8,2019
633,Brazil,Campeonato Brasileiro S̩rie A,(CAM),Keno ,19,3,1829,10,11.36,0.59,72,31,3.74,1.61,2020
139,Italy,Serie A,(BEN),Iago Falque,34,3,2950,12,9.01,0.29,76,22,2.45,0.71,2017
11,Spain,La Liga,(HUE),Sandro Ramlrez,28,2,2340,14,7.14,0.29,93,38,3.78,1.54,2016
12,Spain,La Liga,(BAR),Lionel Messi,32,2,2910,37,26.65,0.87,179,76,5.84,2.48,2016
335,Spain,La Liga,(SEV),Lucas Ocampos,31,2,2929,14,13.26,0.43,84,36,2.72,1.17,2019
399,Italy,Serie A,(TOR),Andrea Belotti,34,2,3214,16,16.58,0.49,104,41,3.07,1.21,2019
652, Netherlands,Eredivisie,(EMM),Michael de Leeuw,26,0,2383,9,8.28,0.33,51,23,2.03,0.92,2020
330,Spain,La Liga,(BIL),Raul Garcla,33,2,3034,15,12.77,0.4,81,33,2.54,1.03,2019
428,France,France Ligue 8,(MAR),Dario Benedetto,25,1,2214,11,8.86,0.38,61,27,2.62,1.16,2019
223,Germany,Bundesliga,(RMA),Luka Jovic,25,7,2353,17,14.12,0.57,97,42,3.92,1.7,2018
377,Portugal ,Primeira Liga,(VGU),Bruno Duarte,6,1,509,2,1.77,0.33,13,3,2.43,0.56,2019
20,Italy,Serie A,(LIV),Mohamed Salah,29,2,2567,15,11.62,0.43,80,50,2.96,1.85,2016
352,Portugal ,Primeira Liga,(VGU),Andre Andre,8,0,645,2,1.7,0.25,7,2,1.03,0.29,2019
22,Italy,Serie A,(LAZ),Ciro Immobile,35,1,3294,22,19.76,0.57,136,98,3.92,2.83,2016
639,Brazil,Campeonato Brasileiro S̩rie A,(CAP),Renato Kayzer,17,1,1639,7,7.59,0.44,46,21,2.67,1.22,2020
286,Brazil,Campeonato Brasileiro S̩rie A,(VDG),Yago Pikachu,34,1,3192,10,11.09,0.33,77,37,2.29,1.1,2018
25,Italy,Serie A,(ATA),Alejandro Gomez,37,0,3247,16,11.62,0.34,117,75,3.42,2.19,2016
384,Italy,Serie A,(NAP),Andrea Petagna,33,3,3263,12,13.74,0.4,110,33,3.2,0.96,2019
275,England,Premier League,(MNC),Raheem Sterling,31,3,2930,17,14.19,0.46,77,38,2.5,1.23,2018
362,Portugal ,Primeira Liga,(FER),Douglas Tanque,7,0,644,2,2.51,0.37,25,9,3.69,1.33,2019
248,France,France Ligue 16,(ANG),Stephane Bahoken,31,1,2541,11,8.56,0.32,66,33,2.47,1.23,2018
593,France,France Ligue 13,(NIC),Amine Gouiri,9,2,903,4,3.33,0.35,26,10,2.74,1.05,2020
129,Italy,Serie A,(TOR),Andrea Belotti,29,3,2854,10,11.72,0.39,86,28,2.86,0.93,2017
340,Portugal ,Primeira Liga,(LIS),Pote ,7,0,631,9,2.99,0.45,21,13,3.16,1.96,2019
448,England,Premier League,(MNC),Riyad Mahrez,21,12,2130,11,7.62,0.34,74,31,3.3,1.38,2019
488, Netherlands,Eredivisie,(SPR),Lennart Thy,10,0,768,6,4.37,0.54,20,11,2.47,1.36,2019
395,Italy,Serie A,(ATA),Luis Muriel,10,23,1370,18,12.4,0.86,77,41,5.34,2.84,2019
506,USA,MLS,(SOU),Raul Ruidiaz,18,0,1626,14,8.56,0.5,58,24,3.39,1.4,2020
495, Netherlands,Eredivisie,(HEE),Henk Veerman,10,0,916,8,4.44,0.46,32,14,3.32,1.45,2019
497, Netherlands,Eredivisie,(HER),Rai Vloet,10,0,853,7,4.49,0.5,21,9,2.34,1.0,2019
472,Brazil,Campeonato Brasileiro S̩rie A,(RBB),Artur ,32,0,3049,7,5.78,0.18,64,19,1.99,0.59,2019
40,Germany,Bundesliga,(HKI),Fin Bartels,23,8,2315,8,6.34,0.26,42,29,1.72,1.19,2016
630,Brazil,Campeonato Brasileiro S̩rie A,(FLU),Nene ,18,0,1434,7,4.38,0.29,35,13,2.32,0.86,2020
42,Germany,Bundesliga,(BAY),Serge Gnabry,23,4,2028,11,5.76,0.27,62,33,2.9,1.55,2016
643, Netherlands,Eredivisie,(FEY),Bryan Linssen,25,0,2256,14,8.31,0.35,92,39,3.87,1.64,2020
397,Italy,Serie A,(BEN),Gianluca Lapadula,20,5,1906,11,9.43,0.47,61,24,3.04,1.2,2019
657, Netherlands,Eredivisie,(PSV),Denzel Dumfries,25,0,2363,7,5.72,0.23,45,14,1.81,0.56,2020
496, Netherlands,Eredivisie,(SPR),Abdou Harroui,10,0,834,4,1.93,0.22,24,13,2.73,1.48,2019
