,Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
599,France,France Ligue 7,(LEN),Gael Kakuta,10,1,786,5,4.14,0.5,18,6,2.18,0.73,2020
312,USA,MLS,(TOR),Alejandro Pozuelo,32,2,3104,14,9.8,0.3,84,38,2.57,1.16,2019
82,Brazil,Campeonato Brasileiro S̩rie A,,Robinho ,26,4,2234,12,8.0,0.34,49,22,2.08,0.94,2016
89,Brazil,Campeonato Brasileiro S̩rie A,,Grafite ,29,2,2511,13,14.01,0.53,64,34,2.42,1.29,2016
192,Spain,La Liga,(SOC),Mikel Oyarzabal,36,1,3300,13,11.12,0.32,66,28,1.9,0.81,2018
443,England,Premier League,(LEI),Jamie Vardy,34,1,3271,23,19.28,0.56,89,42,2.58,1.22,2019
2,Spain,La Liga,(ATL),Luis Suarez,34,1,2940,28,23.21,0.75,120,57,3.88,1.84,2016
635,Brazil,Campeonato Brasileiro S̩rie A,(FOR),Wellington Paulista,13,8,1208,6,5.34,0.42,24,12,1.89,0.94,2020
38,Italy,Serie A,(SAM),Keita Balde,21,10,2033,16,7.7,0.36,70,48,3.27,2.24,2016
120,Italy,Serie A,(FIO),Jose Callejon,38,0,3359,10,10.25,0.29,64,32,1.81,0.91,2017
467,Brazil,Campeonato Brasileiro S̩rie A,(BEN),Everton ,23,7,2498,11,9.2,0.35,83,32,3.16,1.22,2019
218,Italy,Serie A,(PSG),Mauro Icardi,24,5,2314,11,14.86,0.61,73,29,3.0,1.19,2018
636,Brazil,Campeonato Brasileiro S̩rie A,(RBB),Claudinho ,19,1,1657,10,4.19,0.24,53,19,3.04,1.09,2020
570,Germany,Bundesliga,(MAI),Jean-Philippe Mateta,9,0,723,7,6.01,0.79,23,12,3.02,1.58,2020
313,USA,MLS,(SKC),Felipe Gutierrez,31,1,2905,12,9.48,0.31,65,28,2.13,0.92,2019
634,Brazil,Campeonato Brasileiro S̩rie A,(RBB),Alerrandro ,10,2,861,5,6.07,0.67,24,11,2.65,1.21,2020
299,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Gabriel Barbosa,34,1,3140,18,19.17,0.58,94,40,2.84,1.21,2018
254,France,France Ligue 13,(MPE),Gaetan Laborde,36,1,3115,11,8.53,0.26,86,27,2.62,0.82,2018
324,Spain,La Liga,(OSA),Ante Budimir,33,2,2923,13,12.31,0.4,56,22,1.82,0.72,2019
283,Brazil,Campeonato Brasileiro S̩rie A,(ALA),Deyverson ,11,15,1367,9,7.63,0.53,41,19,2.85,1.32,2018
212,Italy,Serie A,(SAS),Francesco Caputo,38,0,3641,16,16.1,0.42,96,43,2.5,1.12,2018
629,Brazil,Campeonato Brasileiro S̩rie A,(BOT),Matheus Babi,17,3,1709,6,5.94,0.33,32,14,1.78,0.78,2020
355,Portugal ,Primeira Liga,(POR),Sergio Oliveira,7,1,642,4,2.09,0.31,17,8,2.52,1.18,2019
253,France,France Ligue 7,(GAL),Falcao ,29,4,2699,15,14.21,0.5,94,41,3.31,1.44,2018
653, Netherlands,Eredivisie,(PSV),Donyell Malen,14,0,1245,11,8.91,0.68,59,32,4.5,2.44,2020
542,Italy,Serie A,(CAG),Joao Pedro,9,0,831,6,3.41,0.39,21,10,2.4,1.14,2020
530,Spain,La Liga,(ATL),Luis Suarez,5,1,387,5,3.3,0.81,22,8,5.4,1.96,2020
19,Spain,La Liga,(RMA),Isco,18,12,1690,10,3.91,0.22,32,15,1.8,0.84,2016
431,France,France Ligue 14,(LEI),Islam Slimani,14,4,1378,9,8.7,0.6,53,20,3.65,1.38,2019
62,England,Premier League,(TOT),Harry Kane,29,1,2636,29,18.87,0.68,110,58,3.96,2.09,2016
80,Brazil,Campeonato Brasileiro S̩rie A,(GRE),Diego Souza,34,0,2981,14,10.67,0.34,86,35,2.74,1.12,2016
291,Brazil,Campeonato Brasileiro S̩rie A,(GRE),Diego Souza,32,0,4177,11,11.43,0.26,51,21,1.16,0.48,2018
346,Portugal ,Primeira Liga,(AVE),Mehrdad Mohammadi,27,1,2495,8,7.35,0.28,56,19,2.13,0.72,2019
386,Italy,Serie A,(SAS),Domenico Berardi,29,2,2654,14,10.9,0.39,120,46,4.3,1.65,2019
630,Brazil,Campeonato Brasileiro S̩rie A,(FLU),Nene ,18,0,1434,7,4.38,0.29,35,13,2.32,0.86,2020
70,England,Premier League,(ATL),Diego Costa,35,0,3232,20,16.67,0.49,111,41,3.26,1.21,2016
573,Germany,Bundesliga,(BMG),Lars Stindl,7,2,567,4,3.52,0.59,19,9,3.18,1.51,2020
535,Spain,La Liga,(CEL),Iago Aspas,11,0,1056,5,4.89,0.44,21,12,1.89,1.08,2020
238,Germany,Bundesliga,(BAY),Robert Lewandowski,33,0,3090,22,29.27,0.9,144,51,4.43,1.57,2018
445,England,Premier League,(LIV),Sadio Mane,31,4,2933,18,14.51,0.47,77,36,2.49,1.17,2019
135,Italy,Serie A,(LAZ),Ciro Immobile,33,0,2799,29,19.15,0.65,110,53,3.73,1.8,2017
186,Spain,La Liga,(OSA),Chimy Avila,20,14,2131,10,7.63,0.34,88,24,3.92,1.07,2018
618,England,Premier League,(MNC),Riyad Mahrez,7,0,612,4,1.93,0.3,21,10,3.26,1.55,2020
330,Spain,La Liga,(BIL),Raul Garcla,33,2,3034,15,12.77,0.4,81,33,2.54,1.03,2019
27,Italy,Serie A,(BEN),Iago Falque,31,4,2633,12,8.04,0.29,65,42,2.35,1.52,2016
587,France,France Ligue 2,(REI),Boulaye Dia,9,1,772,8,5.28,0.65,25,12,3.08,1.48,2020
145,Germany,Bundesliga,(NAN),Jean-Kevin Augustin,14,11,1330,9,6.16,0.44,37,18,2.64,1.29,2017
463,Brazil,Campeonato Brasileiro S̩rie A,(GRE),Pepe,14,18,1836,8,8.7,0.45,46,16,2.38,0.83,2019
267,England,Premier League,(LIV),Sadio Mane,35,1,3236,22,15.33,0.45,87,42,2.55,1.23,2018
338,Spain,La Liga,(GET),Jaime Mata,33,1,2923,11,12.0,0.39,58,23,1.89,0.75,2019
361,Portugal ,Primeira Liga,(BEN),Haris  Seferovic,2,5,337,6,3.33,0.94,12,7,3.38,1.97,2019
58,Germany,Bundesliga,(KOL),Anthony Modeste,34,0,3075,25,19.74,0.61,101,53,3.12,1.64,2016
404,Germany,Bundesliga,(DOR),Marco Reus,18,1,1561,11,8.54,0.52,47,24,2.86,1.46,2019
430,France,France Ligue 19,(STR),Ludovic Ajorque,24,2,2163,8,6.6,0.29,50,22,2.2,0.97,2019
69,England,Premier League,(BAR),Philippe Coutinho,28,3,2327,13,9.31,0.38,107,36,4.37,1.47,2016
475,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Bruno Henrique,29,4,2822,21,21.09,0.71,98,46,3.3,1.55,2019
624,Brazil,Campeonato Brasileiro S̩rie A,(PAL),Luiz Adriano,14,3,1235,7,6.24,0.48,21,13,1.62,1.0,2020
45,Germany,Bundesliga,(FCA),Florian Niederlechner,29,5,2477,11,10.69,0.41,79,56,3.03,2.15,2016
46,Germany,Bundesliga,(BAY),Robert Lewandowski,31,2,2871,30,30.52,1.01,143,86,4.73,2.85,2016
492, Netherlands,Eredivisie,(VIT),Oussama Tannane,8,0,680,4,2.65,0.37,40,9,5.59,1.26,2019
480, Netherlands,Eredivisie,(AJA),Antony None,8,1,575,4,1.63,0.27,20,8,3.3,1.32,2019
470,Brazil,Campeonato Brasileiro S̩rie A,(SAN),Carlos Sanchez,27,7,2648,12,11.99,0.43,85,29,3.05,1.04,2019
565,Germany,Bundesliga,(KOL),Ellyes Skhiri,8,0,709,3,1.87,0.25,6,3,0.8,0.4,2020
566,Germany,Bundesliga,(BAY),Thomas Muller,9,0,822,4,3.2,0.37,13,5,1.5,0.58,2020
592,France,France Ligue 14,(MAR),Florian Thauvin,10,0,835,4,2.99,0.34,21,8,2.39,0.91,2020
8,Spain,La Liga,(CEL),Iago Aspas,25,7,2354,19,13.88,0.56,78,37,3.15,1.49,2016
