,Country,League,Club,Player Names,Matches_Played,Substitution ,Mins,Goals,xG,xG Per Avg Match,Shots,OnTarget,Shots Per Avg Match,On Target Per Avg Match,Year
4,Spain,La Liga,(VAL),Kevin Gameiro,21,10,1745,13,10.65,0.58,50,23,2.72,1.25,2016
7,Spain,La Liga,(PSG),Neymar ,30,0,2694,13,13.33,0.47,105,42,3.7,1.48,2016
10,Spain,La Liga,,Aduriz ,27,5,2480,16,15.92,0.61,85,45,3.26,1.72,2016
13,Spain,La Liga,(VIL),Gerard Moreno,37,0,3361,13,8.49,0.24,82,32,2.32,0.9,2016
16,Spain,La Liga,(SOC),Willian Jose,27,1,2102,12,8.41,0.38,69,29,3.12,1.31,2016
19,Spain,La Liga,(RMA),Isco,18,12,1690,10,3.91,0.22,32,15,1.8,0.84,2016
22,Italy,Serie A,(LAZ),Ciro Immobile,35,1,3294,22,19.76,0.57,136,98,3.92,2.83,2016
25,Italy,Serie A,(ATA),Alejandro Gomez,37,0,3247,16,11.62,0.34,117,75,3.42,2.19,2016
28,Italy,Serie A,(CAG),Giovanni Simeone,29,6,2764,12,12.22,0.42,76,35,2.61,1.2,2016
31,Italy,Serie A,Cyril,Cyril Thereau,31,2,2585,12,9.25,0.34,70,48,2.57,1.76,2016
34,Italy,Serie A,(SAM),Fabio Quagliarella,35,2,3030,12,13.71,0.43,112,70,3.51,2.19,2016
37,Italy,Serie A,(IMI),Gonzalo Higuain,32,6,3138,24,17.84,0.54,134,91,4.06,2.75,2016
40,Germany,Bundesliga,(HKI),Fin Bartels,23,8,2315,8,6.34,0.26,42,29,1.72,1.19,2016
43,Germany,Bundesliga,Sandro,Wagner ,30,1,2695,11,12.2,0.43,65,35,2.29,1.23,2016
46,Germany,Bundesliga,(BAY),Robert Lewandowski,31,2,2871,30,30.52,1.01,143,86,4.73,2.85,2016
49,Germany,Bundesliga,(SCF),Nils Petersen,7,26,1351,10,9.24,0.65,52,33,3.66,2.32,2016
52,Germany,Bundesliga,(WOB),Maximilian Philipp,23,2,2000,9,6.11,0.29,53,34,2.52,1.62,2016
55,Germany,Bundesliga,(STP),Guido Burgstaller,17,1,1494,9,8.18,0.52,45,24,2.86,1.53,2016
58,Germany,Bundesliga,(KOL),Anthony Modeste,34,0,3075,25,19.74,0.61,101,53,3.12,1.64,2016
61,England,Premier League,(INT),Romelu Lukaku,36,1,3448,25,18.15,0.5,110,53,3.03,1.46,2016
64,England,Premier League,(CRY),Christian Benteke,36,0,3299,15,18.4,0.53,105,38,3.02,1.09,2016
67,England,Premier League,(LIV),Roberto Firmino,34,1,3228,11,10.87,0.32,104,43,3.06,1.27,2016
70,England,Premier League,(ATL),Diego Costa,35,0,3232,20,16.67,0.49,111,41,3.26,1.21,2016
73,England,Premier League,(RAN),Jermain Defoe,37,0,3511,15,15.52,0.42,99,31,2.68,0.84,2016
76,England,Premier League,(ACM),Zlatan Ibrahimovic,27,1,2578,17,15.74,0.58,115,45,4.24,1.66,2016
79,England,Premier League,(BOU),Joshua King,31,5,2856,16,10.82,0.36,67,29,2.23,0.96,2016
82,Brazil,Campeonato Brasileiro S̩rie A,,Robinho ,26,4,2234,12,8.0,0.34,49,22,2.08,0.94,2016
85,Brazil,Campeonato Brasileiro S̩rie A,,Bruno Rangel ,19,12,2016,10,8.91,0.42,35,17,1.65,0.8,2016
88,Brazil,Campeonato Brasileiro S̩rie A,(SAN),Marinho ,27,0,2360,12,7.45,0.3,111,34,4.47,1.37,2016
91,Brazil,Campeonato Brasileiro S̩rie A,(BOT),Cicero Semedo,35,0,3322,9,9.79,0.28,62,27,1.77,0.77,2016
94,Brazil,Campeonato Brasileiro S̩rie A,(CAM),Keno ,32,2,3093,10,6.19,0.19,73,25,2.24,0.77,2016
97,Brazil,Campeonato Brasileiro S̩rie A,,Pottker ,19,12,2007,14,8.66,0.41,61,25,2.89,1.18,2016
100,Spain,La Liga,(GET),Angel Rodriguez,26,7,2390,13,11.82,0.47,68,31,2.7,1.23,2017
103,Spain,La Liga,(TOT),Gareth Bale,20,6,1872,16,12.81,0.65,77,32,3.91,1.62,2017
106,Spain,La Liga,(LEV),Sergio Leon,23,8,2071,11,11.12,0.51,65,27,2.98,1.24,2017
109,Spain,La Liga,(SOC),Mikel Oyarzabal,31,4,2864,12,9.35,0.31,65,32,2.16,1.06,2017
112,Spain,La Liga,(JUV),Cristiano Ronaldo,27,0,2375,26,29.0,1.16,178,76,7.12,3.04,2017
115,Spain,La Liga,(GIR),Cristhian Stuani,32,1,2785,21,20.52,0.7,74,37,2.52,1.26,2017
118,Spain,La Liga,(LEV),Morales ,35,0,3180,10,10.71,0.32,61,25,1.82,0.75,2017
121,Italy,Serie A,(LAZ),Sergej Milinkovic-Savic,33,2,3014,12,6.66,0.21,91,34,2.87,1.07,2017
124,Italy,Serie A,(IMI),Gonzalo Higuain,32,3,2935,16,12.05,0.39,102,40,3.3,1.29,2017
127,Italy,Serie A,(LAZ),Luis Alberto,32,2,2797,11,6.77,0.23,81,25,2.75,0.85,2017
130,Italy,Serie A,(ATA),Josip Ilicic,21,10,2115,11,8.24,0.37,89,36,4.0,1.62,2017
133,Italy,Serie A,(ROM),Edin Dzeko,33,3,3177,16,16.39,0.49,152,56,4.55,1.67,2017
136,Italy,Serie A,(NAP),Dries Mertens,35,3,3133,18,16.16,0.49,128,47,3.88,1.43,2017
139,Italy,Serie A,(BEN),Iago Falque,34,3,2950,12,9.01,0.29,76,22,2.45,0.71,2017
142,Germany,Bundesliga,(STP),Guido Burgstaller,24,8,2447,11,8.24,0.32,55,25,2.14,0.97,2017
145,Germany,Bundesliga,(NAN),Jean-Kevin Augustin,14,11,1330,9,6.16,0.44,37,18,2.64,1.29,2017
148,Germany,Bundesliga,(SCF),Nils Petersen,24,8,2362,15,11.93,0.48,63,24,2.53,0.97,2017
151,Germany,Bundesliga,(LEV),Leon Bailey,25,5,2317,9,7.56,0.31,76,27,3.12,1.11,2017
154,Germany,Bundesliga,(SVW),Davie Selke,19,8,1974,10,8.1,0.39,47,22,2.26,1.06,2017
157,Germany,Bundesliga,(DOR),Julian Brandt,26,8,2419,9,6.37,0.25,43,22,1.69,0.86,2017
160,Brazil,Campeonato Brasileiro S̩rie A,(OPE),Roger ,19,1,1465,11,8.64,0.56,47,20,3.05,1.3,2017
163,Brazil,Campeonato Brasileiro S̩rie A,(SAP),Hernanes ,19,0,1222,9,5.27,0.41,52,23,4.04,1.79,2017
166,Brazil,Campeonato Brasileiro S̩rie A,(FLU),Fred ,27,2,1865,12,12.56,0.64,57,24,2.9,1.22,2017
169,Brazil,Campeonato Brasileiro S̩rie A,(SCR),Thiago Neves,30,3,2383,9,10.54,0.42,102,51,4.07,2.03,2017
172,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Diego ,24,3,2089,10,7.92,0.36,56,22,2.55,1.0,2017
175,Brazil,Campeonato Brasileiro S̩rie A,,Henrique Dourado,32,0,2472,19,14.83,0.57,65,37,2.5,1.42,2017
178,Brazil,Campeonato Brasileiro S̩rie A,,Junior  Dutra,27,3,2022,9,10.43,0.49,75,25,3.52,1.17,2017
181,Spain,La Liga,(VAL),Maxi Gomez,33,2,3148,13,12.92,0.39,82,28,2.47,0.84,2018
184,Spain,La Liga,(BIL),Inaki Williams,36,2,3148,12,13.59,0.41,75,33,2.26,1.0,2018
187,Spain,La Liga,(ESP),Raul de Tomas,32,1,2964,14,16.22,0.52,115,47,3.69,1.51,2018
190,Spain,La Liga,(SOC),Willian Jose,28,3,2471,12,11.7,0.45,55,26,2.11,1.0,2018
193,Spain,La Liga,(BAR),Antoine Griezmann,37,0,3349,15,14.45,0.41,113,45,3.21,1.28,2018
196,Spain,La Liga,(GRA),Jorge Molina,28,10,2819,14,11.28,0.38,57,23,1.92,0.78,2018
199,Spain,La Liga,(LEV),Morales ,35,2,3381,12,13.52,0.38,65,33,1.83,0.93,2018
202,Italy,Serie A,(NAP),Lorenzo Insigne,24,4,2191,10,9.23,0.4,120,37,5.2,1.6,2018
205,Italy,Serie A,(TOR),Andrea Belotti,37,0,3533,15,15.99,0.43,125,47,3.36,1.26,2018
208,Italy,Serie A,(ROM),Edin Dzeko,28,5,2741,9,13.56,0.47,131,50,4.54,1.73,2018
211,Italy,Serie A,(ATA),Josip Ilicic,23,8,2262,12,9.29,0.39,101,38,4.24,1.6,2018
214,Italy,Serie A,(SAS),Gregoire Defrel,26,10,2388,11,8.3,0.33,47,23,1.87,0.91,2018
217,Italy,Serie A,(PAR),Gervinho ,27,3,2430,11,6.91,0.27,44,19,1.72,0.74,2018
220,Germany,Bundesliga,(HOF),Andrej Kramaric,28,2,2527,16,19.42,0.73,110,43,4.14,1.62,2018
223,Germany,Bundesliga,(RMA),Luka Jovic,25,7,2353,17,14.12,0.57,97,42,3.92,1.7,2018
226,Germany,Bundesliga,(FCA),Alfred Finnbogason,17,1,1385,10,10.21,0.7,40,18,2.74,1.23,2018
229,Germany,Bundesliga,(CHE),Timo Werner,29,1,2582,16,15.49,0.57,107,39,3.94,1.43,2018
232,Germany,Bundesliga,(WOB),Wout Weghorst,33,1,3061,17,16.11,0.5,73,34,2.27,1.06,2018
235,Germany,Bundesliga,(MAI),Jean-Philippe Mateta,29,5,2587,14,11.71,0.43,97,34,3.56,1.25,2018
238,Germany,Bundesliga,(BAY),Robert Lewandowski,33,0,3090,22,29.27,0.9,144,51,4.43,1.57,2018
241,France,France Ligue 20,(BOR),Remi Oudin,32,5,2719,10,7.73,0.27,78,24,2.73,0.84,2018
244,France,France Ligue 9,(LIL),Jonathan Bamba,35,3,3190,13,7.39,0.22,67,28,2.0,0.83,2018
247,France,France Ligue 3,(MNU),Edinson Cavani,20,1,1747,18,16.73,0.91,52,22,2.83,1.2,2018
250,France,France Ligue 4,(MAR),Florian Thauvin,30,3,2741,16,11.25,0.39,101,35,3.5,1.21,2018
253,France,France Ligue 7,(GAL),Falcao ,29,4,2699,15,14.21,0.5,94,41,3.31,1.44,2018
256,France,France Ligue 5,(LYO),Moussa Dembele,21,12,2154,15,14.74,0.65,90,39,3.97,1.72,2018
259,France,France Ligue 17,(LOK),Francois Kamano,29,8,2698,10,9.09,0.32,82,33,2.89,1.16,2018
262,England,Premier League,(MNU),Paul Pogba,34,1,3233,13,15.99,0.47,105,49,3.09,1.44,2018
265,England,Premier League,(WAT),Glenn Murray,30,8,2684,13,11.58,0.41,54,21,1.91,0.74,2018
268,England,Premier League,(NEW),Callum Wilson,29,1,2714,14,14.57,0.51,65,29,2.28,1.02,2018
271,England,Premier League,(MNC),Sergio Aguero,31,2,2566,21,19.45,0.72,118,43,4.37,1.59,2018
274,England,Premier League,(EVE),Gylfi Sigurdsson,36,2,3302,13,11.12,0.32,86,33,2.47,0.95,2018
277,England,Premier League,(LEI),Ayoze Perez,34,3,3099,12,7.83,0.24,55,27,1.69,0.83,2018
280,Brazil,Campeonato Brasileiro S̩rie A,(LYO),Lucas Paqueta,31,1,2962,10,9.04,0.29,95,40,3.05,1.28,2018
283,Brazil,Campeonato Brasileiro S̩rie A,(ALA),Deyverson ,11,15,1367,9,7.63,0.53,41,19,2.85,1.32,2018
286,Brazil,Campeonato Brasileiro S̩rie A,(VDG),Yago Pikachu,34,1,3192,10,11.09,0.33,77,37,2.29,1.1,2018
289,Brazil,Campeonato Brasileiro S̩rie A,,Roger Guedes ,11,1,1081,9,6.14,0.54,42,20,3.69,1.76,2018
292,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Pedro ,19,0,1689,9,9.07,0.51,56,18,3.15,1.01,2018
295,Brazil,Campeonato Brasileiro S̩rie A,(CFC),Ricardo Oliveira,35,0,3231,13,16.67,0.49,92,41,2.71,1.21,2018
298,Brazil,Campeonato Brasileiro S̩rie A,(PAL),Willian ,21,11,2153,10,10.2,0.45,66,29,2.91,1.28,2018
301,USA,MLS,(ATA),Josef Martinez,32,0,3050,28,25.04,0.78,128,52,3.99,1.62,2019
304,USA,MLS,(ORL),Nani ,26,4,2464,12,8.82,0.34,64,25,2.47,0.96,2019
307,USA,MLS,(CHF),C.J. Sapong,29,3,2734,13,11.22,0.39,63,25,2.19,0.87,2019
310,USA,MLS,(HDY),Mauro Manotas,28,4,2717,13,14.01,0.49,92,29,3.22,1.01,2019
313,USA,MLS,(SKC),Felipe Gutierrez,31,1,2905,12,9.48,0.31,65,28,2.13,0.92,2019
316,USA,MLS,(TOR),Jozy Altidore,18,5,1834,12,8.69,0.45,51,25,2.64,1.29,2019
319,USA,MLS,(NYC FC),Alexandru Mitrita,25,5,2398,12,7.07,0.28,96,34,3.8,1.35,2019
322,Spain,La Liga,(ALA),Joselu,31,5,2990,11,13.22,0.42,87,30,2.76,0.95,2019
325,Spain,La Liga,(SOC),Mikel Oyarzabal,36,1,3247,10,8.89,0.26,62,22,1.81,0.64,2019
328,Spain,La Liga,(ALA),Lucas Perez,29,5,2673,11,11.25,0.4,48,18,1.71,0.64,2019
331,Spain,La Liga,(JUV),Morata ,25,9,2248,12,17.27,0.73,69,30,2.92,1.27,2019
334,Spain,La Liga,(RMA),Sergio Ramos,35,0,3100,11,11.09,0.34,39,17,1.2,0.52,2019
337,Spain,La Liga,(LEV),Roger ,26,10,2436,11,11.54,0.45,57,24,2.22,0.94,2019
340,Portugal ,Primeira Liga,(LIS),Pote ,7,0,631,9,2.99,0.45,21,13,3.16,1.96,2019
343,Portugal ,Primeira Liga,(BRA),Paulinho ,27,2,2451,17,14.96,0.58,89,38,3.45,1.47,2019
346,Portugal ,Primeira Liga,(AVE),Mehrdad Mohammadi,27,1,2495,8,7.35,0.28,56,19,2.13,0.72,2019
349,Portugal ,Primeira Liga,(POR),Moussa Marega,27,2,2471,12,7.28,0.28,58,33,2.23,1.27,2019
352,Portugal ,Primeira Liga,(VGU),Andre Andre,8,0,645,2,1.7,0.25,7,2,1.03,0.29,2019
355,Portugal ,Primeira Liga,(POR),Sergio Oliveira,7,1,642,4,2.09,0.31,17,8,2.52,1.18,2019
358,Portugal ,Primeira Liga,(NAC),Brayan Riascos,8,0,736,3,2.17,0.28,26,11,3.36,1.42,2019
361,Portugal ,Primeira Liga,(BEN),Haris  Seferovic,2,5,337,6,3.33,0.94,12,7,3.38,1.97,2019
364,Portugal ,Primeira Liga,(MNU),Bruno Fernandes,17,0,1656,8,5.58,0.32,60,23,3.44,1.32,2019
367,Portugal ,Primeira Liga,(BEN),Pizzi ,33,1,2981,18,15.69,0.5,83,39,2.65,1.24,2019
370,Portugal ,Primeira Liga,(MAR),Rodrigo Pinho,18,9,1732,9,6.56,0.36,48,22,2.63,1.21,2019
373,Portugal ,Primeira Liga,(BEN),Everton ,8,0,622,2,1.05,0.16,11,7,1.68,1.07,2019
376,Portugal ,Primeira Liga,(BRA),Ricardo Horta,31,2,2750,12,8.97,0.31,93,37,3.21,1.28,2019
379,Portugal ,Primeira Liga,(VGU),Bruno Duarte,18,6,1684,8,5.5,0.31,42,16,2.37,0.9,2019
382,Italy,Serie A,(Sassuolo ),Francesco Caputo,33,3,3125,21,13.82,0.42,73,35,2.22,1.06,2019
385,Italy,Serie A,(JUV),Cristiano Ronaldo,33,0,3127,31,27.32,0.83,208,79,6.32,2.4,2019
388,Italy,Serie A,(ATA),Josip Ilicic,21,5,1786,15,9.78,0.52,81,36,4.31,1.91,2019
391,Italy,Serie A,(LAZ),Ciro Immobile,36,1,3371,36,26.61,0.75,142,71,4.0,2.0,2019
394,Italy,Serie A,(INT),Lautaro Martrinez,29,6,2581,14,14.4,0.53,125,44,4.6,1.62,2019
397,Italy,Serie A,(BEN),Gianluca Lapadula,20,5,1906,11,9.43,0.47,61,24,3.04,1.2,2019
400,Germany,Bundesliga,(DOR),Jadon Sancho,25,7,2387,17,9.8,0.39,52,28,2.07,1.11,2019
403,Germany,Bundesliga,(HOF),Andrej Kramaric,14,5,1502,12,9.33,0.59,43,23,2.72,1.45,2019
406,Germany,Bundesliga,(BMG),Marcus Thuram,28,3,2296,10,10.15,0.42,56,36,2.32,1.49,2019
409,Germany,Bundesliga,(FRA),Andre Silva,16,9,1694,12,10.7,0.6,55,21,3.08,1.18,2019
412,Germany,Bundesliga,(BSC),Jhon Cordoba,23,6,2108,13,8.88,0.4,61,25,2.75,1.13,2019
415,Germany,Bundesliga,(BMG),Lars Stindl,14,11,1518,9,7.19,0.45,33,15,2.07,0.94,2019
418,Germany,Bundesliga,(KOL),Sebastian Andersson,31,2,2813,12,13.62,0.46,65,37,2.2,1.25,2019
421,France,France Ligue 13,(MAR),Dimitri Payet,22,0,2057,9,5.85,0.27,63,26,2.91,1.2,2019
424,France,France Ligue 9,(NIC),Kasper Dolberg,22,1,1994,11,7.77,0.37,42,25,2.0,1.19,2019
427,France,France Ligue 12,(MPE),Andy Delort,26,0,2409,9,10.9,0.43,84,29,3.31,1.14,2019
430,France,France Ligue 19,(STR),Ludovic Ajorque,24,2,2163,8,6.6,0.29,50,22,2.2,0.97,2019
433,France,France Ligue 10,(STE),Denis Bouanga,23,3,2173,10,9.38,0.41,78,37,3.41,1.62,2019
436,France,France Ligue 3,(LYO),Moussa Dembele,24,3,2358,16,11.42,0.46,56,26,2.26,1.05,2019
439,France,France Ligue 4,(NAP),Victor Osimhen,25,2,2434,13,14.86,0.58,86,35,3.36,1.37,2019
442,England,Premier League,(MNC),Kevin De Bruyne,32,3,2984,13,7.22,0.23,99,31,3.15,0.99,2019
445,England,Premier League,(LIV),Sadio Mane,31,4,2933,18,14.51,0.47,77,36,2.49,1.17,2019
448,England,Premier League,(MNC),Riyad Mahrez,21,12,2130,11,7.62,0.34,74,31,3.3,1.38,2019
451,England,Premier League,(LIV),Mohamed Salah,33,1,3045,19,20.51,0.64,132,59,4.12,1.84,2019
454,England,Premier League,(ARS),Pierre-Emerick Aubameyang,35,1,3392,22,16.07,0.45,93,42,2.6,1.18,2019
457,England,Premier League,(NOR),Teemu Pukki,33,3,3087,11,11.37,0.35,80,35,2.46,1.08,2019
460,Brazil,Campeonato Brasileiro S̩rie A,,Dudu ,34,2,3313,9,9.42,0.27,95,38,2.72,1.09,2019
463,Brazil,Campeonato Brasileiro S̩rie A,(GRE),Pepe,14,18,1836,8,8.7,0.45,46,16,2.38,0.83,2019
466,Brazil,Campeonato Brasileiro S̩rie A,(SAN),Marinho ,18,11,1917,8,6.66,0.33,73,26,3.62,1.29,2019
469,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Michael ,35,0,3180,10,9.37,0.28,80,32,2.39,0.96,2019
472,Brazil,Campeonato Brasileiro S̩rie A,(RBB),Artur ,32,0,3049,7,5.78,0.18,64,19,1.99,0.59,2019
475,Brazil,Campeonato Brasileiro S̩rie A,(FLA),Bruno Henrique,29,4,2822,21,21.09,0.71,98,46,3.3,1.55,2019
478,Brazil,Campeonato Brasileiro S̩rie A,(CAM),Eduardo Sasha,34,3,3181,14,14.06,0.42,77,36,2.3,1.08,2019
481, Netherlands,Eredivisie,(AJA),Quincy Promes,4,6,574,4,2.9,0.48,22,10,3.64,1.66,2019
484, Netherlands,Eredivisie,(FEY),Steven Berghuis,10,0,896,9,8.77,0.93,39,21,4.14,2.23,2019
487, Netherlands,Eredivisie,(TWE),Danilo Nome,10,0,827,9,7.05,0.81,31,16,3.56,1.84,2019
490, Netherlands,Eredivisie,(PSV),Noni Madueke,3,7,524,4,2.87,0.52,17,7,3.08,1.27,2019
493, Netherlands,Eredivisie,(TWE),Vaclav Cerny,10,0,824,4,1.39,0.16,21,12,2.42,1.38,2019
496, Netherlands,Eredivisie,(SPR),Abdou Harroui,10,0,834,4,1.93,0.22,24,13,2.73,1.48,2019
499, Netherlands,Eredivisie,(VVV),Georgios Giakoumakis,10,0,911,9,7.19,0.75,35,14,3.65,1.46,2019
502,USA,MLS,(RSL),Damir Kreilach,20,1,1872,8,6.11,0.31,48,19,2.44,0.96,2020
505,USA,MLS,(SOU),Nicolas Lodeiro,21,0,2014,8,6.36,0.3,43,19,2.03,0.9,2020
508,USA,MLS,(CCR),Gyasi Zardes,22,1,2034,14,11.99,0.56,50,25,2.34,1.17,2020
511,USA,MLS,(MON),Romell Quioto,18,2,1676,9,5.82,0.33,54,23,3.06,1.3,2020
514,USA,MLS,(NER),Gustavo Bou,17,4,1701,8,6.8,0.38,81,28,4.52,1.56,2020
517,USA,MLS,(POR),Jeremy Ebobisse,11,8,1189,8,3.63,0.29,33,15,2.64,1.2,2020
520,Spain,La Liga,(SEV),Youssef   En-Nesyri,5,4,465,4,3.33,0.68,14,4,2.86,0.82,2020
523,Spain,La Liga,(VAL),Carlos Soler,6,1,599,4,3.34,0.53,8,5,1.27,0.79,2020
526,Spain,La Liga,(EIB),Esteban Burgos,6,1,589,3,2.85,0.46,5,4,0.81,0.65,2020
529,Spain,La Liga,(ATL),Joao Felix,6,3,641,5,3.85,0.57,21,6,3.11,0.89,2020
532,Spain,La Liga,(LEV),Morales ,10,0,758,4,2.71,0.34,17,8,2.13,1.0,2020
535,Spain,La Liga,(CEL),Iago Aspas,11,0,1056,5,4.89,0.44,21,12,1.89,1.08,2020
538,Spain,La Liga,(BAR),Ansu Fati,6,1,451,4,1.8,0.38,14,7,2.95,1.47,2020
541,Italy,Serie A,(SAS),Francesco Caputo,6,0,567,5,3.52,0.59,18,9,3.02,1.51,2020
544,Italy,Serie A,(TOR),Andrea Belotti,8,0,754,7,3.49,0.44,24,11,3.02,1.39,2020
547,Italy,Serie A,(SAS),Domenico Berardi,8,0,766,4,2.02,0.25,21,11,2.6,1.36,2020
550,Italy,Serie A,(PAR),Gervinho ,8,0,669,4,1.97,0.28,13,5,1.85,0.71,2020
553,Italy,Serie A,(JUV),Cristiano Ronaldo,5,1,397,8,5.31,1.27,26,13,6.22,3.11,2020
556,Italy,Serie A,(LAZ),Ciro Immobile,6,1,571,5,3.73,0.62,22,8,3.66,1.33,2020
559,Italy,Serie A,(NAP),Hirving Lozano,9,0,568,4,2.93,0.49,18,11,3.01,1.84,2020
562,Germany,Bundesliga,(BAY),Serge Gnabry,7,1,626,4,1.58,0.24,18,9,2.73,1.37,2020
